cent,efl node20,efl node0,efl node10,fl net5
20.20000076,59.64661026,100,91.11842346,44.09999847
14.61999989,34.47946548,100,87.5,30.29999924
12.27999973,23.20916939,100,86.51316071,23.95000076
11.53999996,21.20343781,100,84.86842346,24
10.22000027,21.251194,100,77.96052551,18.5
9.430000305,17.81279755,100,78.28947449,17.14999962
8.68999958,14.7086916,100,72.36842346,18.10000038
8.359999657,15.99808979,100,72.69736481,17.64999962
8.029999733,15.37726879,100,67.43421173,17
8.050000191,14.374403,100,67.76316071,17.29999924
7.610000134,14.0401144,100,57.89473724,13.89999962
7.460000038,12.94173813,100,56.90789413,13.25
7.650000095,11.36580753,100,55.26315689,14.19999981
7.980000019,11.84336185,100,56.57894897,13.64999962
7.119999886,12.17765045,100,58.2236824,12.25
7.630000114,12.46418381,100,46.05263138,13.80000019
7.190000057,10.9360075,100,46.71052551,14.55000019
6.309999943,11.41356277,100,46.38158035,12.89999962
6.460000038,9.503342628,100,42.43421173,13.60000038
6.75,10.69723034,100,35.5263176,13
6.659999847,10.17191982,100,36.84210587,12.10000038
6.409999847,10.36294174,100,35.5263176,11.35000038
6.929999828,10.84049702,100,31.57894707,13.10000038
6.579999924,9.216810226,100,33.88158035,14
6.769999981,10.74498558,100,32.56578827,11.10000038
6.409999847,9.837631226,100,29.60526276,12.5
6.059999943,10.79274082,100,33.88158035,13.39999962
6.019999981,9.407832146,100,29.27631569,10.69999981
6.239999771,9.503342628,100,29.93420982,10
6.300000191,9.742120743,100,26.97368431,10.60000038
5.800000191,8.882521629,100,25.65789413,10.64999962
6.21999979,9.503342628,100,26.97368431,11.80000019
5.730000019,9.169054031,100,26.97368431,11
5.619999886,9.216810226,100,24.34210587,9.949999809
5.900000095,9.312320709,100,22.36842155,10.69999981
6.039999962,8.357211113,100,25.32894707,10.35000038
5.659999847,8.787010193,100,21.05263138,10
5.570000172,9.933142662,100,25,10.14999962
5.989999771,8.166189194,100,22.36842155,9.949999809
5.380000114,9.216810226,100,23.68420982,10.80000019
5.869999886,8.404966354,100,23.02631569,9.850000381
5.599999905,9.169054031,100,23.68420982,12.05000019
5.610000134,8.357211113,100,19.40789413,10.64999962
5.369999886,7.354345798,100,20.72368431,11.64999962
5.670000076,8.643744469,100,21.71052551,10.75
5.710000038,8.930276871,100,22.69736862,10.05000019
5.599999905,8.69149971,100,20.72368431,9.050000191
5.159999847,8.739254951,100,20.39473724,10.25
5.489999771,8.834766388,100,17.7631588,8.75
5.110000134,8.070677757,100,18.75,10.30000019
5.349999905,7.211079121,100,20.39473724,9.050000191
5.400000095,8.213944435,100,19.40789413,9.899999619
5.079999924,8.309455872,100,19.07894707,9.199999809
5.449999809,8.213944435,100,18.75,10.05000019
5.449999809,8.118433952,100,20.06579018,9.899999619
5.28000021,8.548233032,100,16.44736862,10.64999962
5.050000191,7.831900597,100,17.43420982,8.399999619
5.309999943,8.882521629,100,15.46052647,9.899999619
5.360000134,8.213944435,100,18.42105293,9.899999619
5.110000134,7.879656315,100,17.43420982,9.75
5.260000229,7.784145355,100,18.42105293,10.10000038
5.260000229,7.640878677,100,15.78947353,10.5
5.010000229,8.118433952,100,16.11842155,8.850000381
5.429999828,8.022922516,100,15.46052647,8.949999809
5.269999981,8.213944435,100,14.47368431,10.30000019
5.260000229,7.258834839,100,11.84210491,9.350000381
5.349999905,7.211079121,100,16.11842155,9.5
5.269999981,7.688634396,100,14.14473724,9.149999619
5.260000229,7.354345798,100,17.7631588,9.899999619
5.139999866,7.497612,100,15.1315794,9.5
5.590000153,7.06781292,100,14.80263138,9.399999619
4.989999771,7.831900597,100,15.46052647,9.600000381
5.269999981,7.688634396,100,16.11842155,7.75
4.900000095,7.736389637,100,14.80263138,9.350000381
4.980000019,7.545367718,100,13.81578922,9.25
4.849999905,6.685769081,100,16.44736862,8.949999809
5.460000038,8.022922516,100,15.78947353,9.550000191
5.25,7.40210104,100,13.48684216,8.449999809
5.320000172,7.40210104,100,15.1315794,8.850000381
5.070000172,7.354345798,100,15.46052647,9.649999619
4.820000172,7.879656315,100,14.14473724,8.800000191
4.699999809,7.640878677,100,15.78947353,8.800000191
4.829999924,6.876791,100,14.47368431,8.300000191
4.920000076,7.354345798,100,13.81578922,9.050000191
5.349999905,6.685769081,100,11.84210491,8.600000381
4.840000153,7.40210104,100,15.1315794,8.899999619
4.829999924,6.829035282,100,14.80263138,8.25
4.769999981,6.924546242,100,17.7631588,9.149999619
4.940000057,8.213944435,100,15.1315794,9.800000191
4.760000229,6.924546242,100,13.81578922,10.14999962
5.130000114,6.781280041,100,13.81578922,9.949999809
4.940000057,7.640878677,100,15.78947353,8.850000381
5.03000021,7.211079121,100,13.81578922,9.25
4.71999979,7.020057201,100,14.80263138,9.100000381
4.769999981,6.97230196,100,13.81578922,8.699999809
4.760000229,5.778414726,100,12.5,7.699999809
4.78000021,7.020057201,100,11.84210491,8.25
5,7.449856758,100,11.84210491,9.649999619
4.610000134,7.211079121,100,13.81578922,8.449999809
5.119999886,6.924546242,100,13.81578922,9.25
5.039999962,7.020057201,100,14.14473724,8.449999809
5.070000172,8.261699677,100,13.15789509,9.199999809
5.090000153,6.542502403,100,10.85526276,8.899999619
4.639999866,7.40210104,100,13.81578922,8.75
4.849999905,6.685769081,100,11.51315784,8.300000191
5.019999981,8.261699677,100,11.84210491,8.75
4.489999771,6.638013363,100,10.19736862,9.399999619
5.039999962,6.97230196,100,14.47368431,6.599999905
4.650000095,7.258834839,100,13.81578922,9.449999809
4.96999979,7.211079121,100,14.14473724,8.100000381
5.050000191,6.399235725,100,14.14473724,10
5.039999962,7.020057201,100,14.80263138,8.449999809
4.480000019,7.593123436,100,11.51315784,9.600000381
4.659999847,6.590257645,100,12.5,7.650000095
4.869999886,6.97230196,100,12.17105293,8.850000381
4.550000191,6.542502403,100,13.81578922,9.25
5.269999981,6.112702847,100,10.19736862,8.449999809
4.760000229,6.638013363,100,12.82894707,7.449999809
4.570000172,7.020057201,100,13.48684216,9.25
4.739999771,5.58739233,100,12.82894707,9.100000381
4.75,7.449856758,100,8.881579399,8.25
4.820000172,6.733524323,100,11.18421078,9.300000191
4.690000057,6.494746685,100,11.84210491,8
4.840000153,7.354345798,100,14.14473724,8.850000381
4.769999981,7.449856758,100,13.48684216,9.350000381
4.929999828,7.163323879,100,12.5,8.600000381
4.840000153,7.020057201,100,13.81578922,7.900000095
4.679999828,6.781280041,100,11.51315784,8.899999619
5.230000019,7.354345798,100,11.18421078,7.900000095
4.96999979,7.497612,100,10.19736862,8.449999809
4.829999924,6.685769081,100,11.51315784,8.899999619
4.78000021,6.303724766,100,12.17105293,8.449999809
4.539999962,7.258834839,100,13.15789509,8.100000381
4.440000057,6.255969524,100,9.210526466,8.75
4.829999924,7.115568161,100,11.18421078,7.849999905
5.110000134,7.06781292,100,9.868420601,7.300000191
4.829999924,8.261699677,100,12.82894707,8.350000381
4.53000021,6.446991444,100,10.85526276,9.449999809
4.429999828,6.494746685,66.66666412,9.868420601,8.800000191
4.480000019,6.638013363,66.66666412,10.52631569,7.900000095
4.559999943,5.826169968,33.33333206,7.894736767,9.100000381
4.880000114,7.020057201,66.66666412,12.5,8.699999809
4.550000191,6.97230196,100,10.52631569,8.300000191
4.670000076,6.97230196,66.66666412,9.210526466,8
4.809999943,6.542502403,66.66666412,10.85526276,8.399999619
4.760000229,7.449856758,33.33333206,11.18421078,7.400000095
4.610000134,7.258834839,100,9.539473534,8.050000191
4.679999828,6.446991444,66.66666412,10.52631569,7.699999809
4.880000114,6.829035282,33.33333206,10.52631569,8.050000191
4.489999771,6.685769081,66.66666412,11.84210491,8.699999809
4.539999962,6.781280041,66.66666412,9.868420601,8.850000381
4.329999924,7.449856758,33.33333206,9.868420601,8.300000191
4.440000057,7.163323879,66.66666412,10.52631569,6.550000191
4.829999924,7.115568161,66.66666412,11.18421078,9
4.510000229,6.924546242,33.33333206,11.18421078,7.800000191
4.5,6.829035282,33.33333206,10.85526276,8.399999619
4.110000134,6.351480484,33.33333206,9.539473534,7.400000095
4.380000114,6.542502403,66.66666412,9.868420601,8.75
4.820000172,7.30659008,33.33333206,8.881579399,7.699999809
4.989999771,6.733524323,33.33333206,10.85526276,8.149999619
4.699999809,7.30659008,33.33333206,11.51315784,7.699999809
4.409999847,6.160458565,66.66666412,8.223684311,8.050000191
4.75,6.829035282,66.66666412,9.210526466,8.100000381
4.510000229,6.590257645,66.66666412,8.881579399,6.900000095
4.730000019,6.924546242,66.66666412,11.51315784,8.199999809
4.389999866,6.017191887,100,10.85526276,9
4.380000114,7.40210104,33.33333206,11.51315784,9.25
4.809999943,7.163323879,33.33333206,11.84210491,8.800000191
4.539999962,6.638013363,66.66666412,11.84210491,7.849999905
4.429999828,6.685769081,33.33333206,13.81578922,7.25
4.699999809,6.876791,33.33333206,10.52631569,7.650000095
4.840000153,6.399235725,66.66666412,8.552631378,8
4.389999866,6.97230196,66.66666412,10.52631569,7.050000191
4.570000172,6.255969524,33.33333206,9.210526466,7.300000191
4.590000153,6.829035282,33.33333206,12.17105293,7.800000191
4.239999771,7.497612,33.33333206,10.52631569,7.900000095
4.539999962,6.924546242,0,9.868420601,7.849999905
4.730000019,6.685769081,66.66666412,11.18421078,7.75
4.380000114,6.685769081,33.33333206,8.223684311,7.699999809
4.510000229,6.494746685,33.33333206,8.881579399,8.850000381
4.53000021,6.685769081,66.66666412,9.868420601,8.050000191
4.710000038,6.399235725,66.66666412,9.868420601,9.050000191
4.159999847,5.58739233,33.33333206,9.210526466,8.149999619
4.769999981,6.876791,33.33333206,10.19736862,8.649999619
4.429999828,6.160458565,66.66666412,11.18421078,7
4.5,7.115568161,66.66666412,11.84210491,8.600000381
4.300000191,7.30659008,66.66666412,11.51315784,8.5
4.639999866,6.208213806,33.33333206,11.84210491,8.600000381
4.840000153,6.208213806,33.33333206,8.223684311,8.25
4.449999809,7.497612,66.66666412,9.210526466,7.199999809
4.400000095,6.208213806,33.33333206,9.868420601,7.800000191
4.53000021,5.969436646,33.33333206,8.552631378,8.649999619
4.670000076,7.06781292,33.33333206,9.868420601,8.350000381
4.559999943,5.491881371,66.66666412,8.223684311,7.650000095
4.380000114,6.733524323,66.66666412,10.19736862,7.300000191
4.639999866,6.351480484,33.33333206,10.19736862,7.099999905
4.590000153,6.542502403,66.66666412,8.881579399,8.300000191
4.409999847,5.969436646,33.33333206,8.881579399,8.199999809
4.28000021,6.542502403,33.33333206,10.85526276,8.449999809
4.329999924,5.921680927,33.33333206,9.868420601,7.900000095
4.300000191,6.733524323,33.33333206,8.552631378,7.75
4.570000172,6.542502403,33.33333206,12.17105293,8.850000381
4.449999809,6.303724766,33.33333206,10.52631569,8.199999809
4.650000095,6.781280041,33.33333206,11.84210491,6.650000095
4.679999828,6.208213806,66.66666412,9.210526466,8.550000191
4.440000057,6.208213806,33.33333206,10.52631569,8
4.389999866,6.351480484,66.66666412,9.210526466,8.699999809
4.710000038,6.208213806,33.33333206,11.51315784,7.449999809
4.300000191,7.020057201,0,8.223684311,6.849999905
4.309999943,5.921680927,33.33333206,7.894736767,7.900000095
4.429999828,5.873925686,33.33333206,9.210526466,7.449999809
4.380000114,6.590257645,33.33333206,11.84210491,7.849999905
4.539999962,6.924546242,33.33333206,10.52631569,7.849999905
4.239999771,6.685769081,33.33333206,9.210526466,7.25
4.619999886,5.014326572,33.33333206,8.223684311,8.5
4.309999943,6.446991444,33.33333206,8.881579399,8.699999809
4.340000153,6.733524323,66.66666412,9.210526466,7.75
4.639999866,6.351480484,66.66666412,9.210526466,7.300000191
4.409999847,6.542502403,0,7.236842155,6.550000191
4.340000153,5.300859451,33.33333206,9.210526466,7.25
4.300000191,6.399235725,33.33333206,9.210526466,8.449999809
4.510000229,6.303724766,0,9.210526466,9.050000191
4.010000229,5.34861517,66.66666412,8.223684311,7.400000095
4.380000114,5.969436646,33.33333206,9.868420601,6.75
4.300000191,6.112702847,33.33333206,8.223684311,7.699999809
4.610000134,6.542502403,33.33333206,8.552631378,7.849999905
4.360000134,6.160458565,66.66666412,10.52631569,7.849999905
4.25,6.160458565,33.33333206,8.552631378,7.699999809
4.690000057,5.109837532,33.33333206,8.881579399,7.400000095
4.400000095,6.638013363,0,10.19736862,7.75
4.650000095,6.208213806,33.33333206,9.539473534,7.949999809
4.289999962,6.446991444,33.33333206,8.552631378,7.050000191
4.380000114,6.208213806,33.33333206,8.223684311,7.449999809
4.460000038,6.112702847,66.66666412,11.18421078,7
4.519999981,6.064947605,33.33333206,8.223684311,7.75
4.389999866,6.638013363,33.33333206,8.223684311,7.25
4.449999809,6.017191887,33.33333206,9.210526466,7.650000095
4.369999886,5.873925686,33.33333206,8.223684311,7.25
4.139999866,5.921680927,33.33333206,8.552631378,8.449999809
4.25,6.017191887,33.33333206,9.868420601,7.949999809
4.21999979,6.351480484,66.66666412,10.19736862,7.449999809
4.190000057,5.921680927,33.33333206,10.85526276,7.699999809
4.239999771,5.873925686,33.33333206,10.19736862,7.199999809
4.440000057,6.446991444,33.33333206,8.881579399,7.400000095
4.320000172,6.160458565,33.33333206,7.894736767,6.849999905
4.329999924,5.873925686,0,9.868420601,7.75
4.460000038,5.969436646,66.66666412,10.19736862,6.949999809
4.449999809,6.160458565,66.66666412,9.210526466,7.150000095
4.800000191,6.064947605,0,8.881579399,7.449999809
4.03000021,6.446991444,33.33333206,11.18421078,6.699999809
4.449999809,6.781280041,33.33333206,8.881579399,7.099999905
4.179999828,5.969436646,33.33333206,7.894736767,8.350000381
4.440000057,6.542502403,33.33333206,9.539473534,8.149999619
4.409999847,6.685769081,33.33333206,8.881579399,8.149999619
4.320000172,5.969436646,33.33333206,10.52631569,7.849999905
4.519999981,6.590257645,33.33333206,8.552631378,8.300000191
4.409999847,6.542502403,0,5.921052456,7.650000095
4.28000021,5.58739233,0,9.868420601,7.300000191
4.269999981,5.396370411,0,8.552631378,7.699999809
4.199999809,5.25310421,33.33333206,8.552631378,8.100000381
4.199999809,6.160458565,0,9.210526466,7.550000191
4.269999981,5.873925686,0,8.223684311,8.100000381
4.429999828,5.969436646,33.33333206,9.210526466,6.75
4.239999771,5.635148048,0,8.552631378,7.699999809
4.210000038,6.351480484,0,9.539473534,7.949999809
4.139999866,6.494746685,33.33333206,8.552631378,7.949999809
4.300000191,6.160458565,0,8.552631378,7.300000191
4.420000076,6.064947605,33.33333206,8.881579399,7.699999809
4.21999979,5.34861517,33.33333206,8.552631378,8.550000191
4.159999847,6.446991444,33.33333206,7.894736767,7.5
4.449999809,6.208213806,0,8.881579399,7.949999809
4.110000134,5.25310421,0,7.894736767,7.699999809
4.119999886,6.542502403,33.33333206,9.868420601,7.75
4.170000076,6.064947605,0,10.52631569,8.600000381
4.28000021,6.112702847,33.33333206,7.5657897,8.449999809
4.460000038,6.017191887,0,8.881579399,7.800000191
3.980000019,5.682903767,33.33333206,8.223684311,7.449999809
4.070000172,6.685769081,0,9.539473534,7.699999809
4.03000021,6.446991444,33.33333206,7.236842155,6.949999809
4.170000076,5.826169968,33.33333206,11.51315784,7.5
4.150000095,6.351480484,0,7.5657897,7.349999905
4.119999886,5.778414726,33.33333206,7.894736767,7
4.059999943,6.064947605,0,7.5657897,7.449999809
4.050000191,6.064947605,0,10.19736862,6.550000191
4.139999866,5.778414726,0,7.5657897,7.150000095
4.269999981,6.494746685,33.33333206,10.52631569,7.599999905
4.25,6.494746685,0,8.223684311,8.100000381
4.28000021,6.112702847,0,9.210526466,7.800000191
4.139999866,6.112702847,33.33333206,6.907894611,7.699999809
4.519999981,6.208213806,33.33333206,6.578947544,7.599999905
4.289999962,6.351480484,0,10.52631569,7
4.260000229,5.921680927,33.33333206,7.894736767,6.75
3.950000048,6.494746685,0,7.894736767,8
4.449999809,5.444126129,0,9.868420601,6.800000191
4.070000172,5.873925686,33.33333206,8.881579399,8.800000191
4.570000172,6.446991444,33.33333206,7.894736767,7.550000191
4.170000076,6.112702847,0,9.210526466,7.400000095
4.300000191,6.064947605,33.33333206,8.881579399,7
4.369999886,5.58739233,0,7.894736767,8.350000381
4.179999828,6.255969524,33.33333206,8.881579399,7.699999809
4.269999981,5.682903767,33.33333206,9.539473534,7.900000095
4.309999943,6.064947605,33.33333206,6.907894611,7.150000095
4.389999866,6.876791,0,7.894736767,5.949999809
4.389999866,5.491881371,33.33333206,7.5657897,7.599999905
4.440000057,5.873925686,33.33333206,9.210526466,8.199999809
4.079999924,6.160458565,0,7.5657897,6.349999905
4.199999809,6.303724766,0,8.552631378,8.100000381
4.010000229,5.109837532,33.33333206,7.236842155,7.849999905
4.21999979,6.112702847,0,8.552631378,6.900000095
3.880000114,6.446991444,33.33333206,9.210526466,6.449999809
4.239999771,5.635148048,33.33333206,8.223684311,9
4.190000057,5.539637089,0,9.210526466,6.949999809
4.440000057,6.255969524,0,7.236842155,9.5
4.170000076,5.444126129,0,8.552631378,7.5
4.429999828,6.494746685,0,9.210526466,7.849999905
3.910000086,5.34861517,33.33333206,9.868420601,7.099999905
4.179999828,6.017191887,33.33333206,8.552631378,7.25
4.190000057,6.160458565,33.33333206,6.578947544,6.849999905
4.380000114,5.539637089,33.33333206,7.236842155,7.599999905
4.610000134,6.112702847,0,7.5657897,6.349999905
4.170000076,6.255969524,0,9.539473534,5.949999809
4.550000191,6.017191887,0,6.907894611,6.900000095
4.349999905,5.778414726,0,9.210526466,7.650000095
4,5.396370411,0,9.868420601,8
4.230000019,5.396370411,33.33333206,9.210526466,6.75
4.099999905,5.58739233,0,7.894736767,6.949999809
4.590000153,6.064947605,0,8.552631378,6.75
3.980000019,5.444126129,0,8.881579399,8.199999809
4.059999943,5.730659008,33.33333206,8.552631378,6.900000095
4.309999943,6.160458565,0,8.223684311,6.599999905
4.159999847,6.017191887,0,8.552631378,8.100000381
4.289999962,6.303724766,33.33333206,8.223684311,7.800000191
4.630000114,6.303724766,0,8.552631378,7.199999809
4.389999866,6.064947605,33.33333206,7.894736767,6.949999809
4.5,6.399235725,0,8.881579399,7.25
4.159999847,5.969436646,0,7.5657897,6.5
4.440000057,5.730659008,0,9.210526466,7.650000095
4.269999981,6.542502403,33.33333206,10.52631569,6.949999809
4.010000229,6.590257645,33.33333206,5.263157845,7.300000191
3.980000019,6.208213806,33.33333206,9.868420601,7.550000191
4.059999943,6.064947605,0,9.210526466,7.050000191
3.940000057,5.873925686,0,7.236842155,6.849999905
3.890000105,5.730659008,33.33333206,8.881579399,8.949999809
4.199999809,6.685769081,33.33333206,8.223684311,8.25
4.130000114,5.682903767,33.33333206,9.210526466,7.349999905
4.489999771,6.446991444,0,8.223684311,8.25
4.190000057,6.733524323,0,6.907894611,7
4.449999809,6.160458565,0,8.223684311,7.5
4.409999847,5.205348492,0,7.5657897,6.849999905
4.159999847,6.255969524,0,9.210526466,7.050000191
4.449999809,6.112702847,33.33333206,7.236842155,8.550000191
4.309999943,5.778414726,0,8.223684311,6.650000095
4.139999866,6.638013363,0,8.881579399,6.5
4.210000038,6.255969524,0,9.539473534,7.300000191
4.380000114,6.017191887,0,9.210526466,6.75
4.119999886,6.255969524,0,6.578947544,6.599999905
4.260000229,5.682903767,33.33333206,9.210526466,7.900000095
4,5.539637089,33.33333206,9.539473534,7.25
4.159999847,5.300859451,0,7.5657897,6.349999905
3.980000019,6.017191887,0,9.539473534,7
3.900000095,5.969436646,0,8.552631378,6.699999809
4.480000019,5.682903767,33.33333206,8.223684311,6.400000095
4.159999847,5.635148048,0,10.19736862,6.550000191
4.059999943,5.921680927,33.33333206,8.223684311,8.5
4.230000019,6.017191887,0,8.552631378,6.550000191
3.99000001,7.211079121,0,7.894736767,8.600000381
4.079999924,5.826169968,0,8.552631378,7.650000095
4.139999866,6.017191887,0,7.5657897,7.75
3.99000001,6.017191887,33.33333206,10.19736862,7
4.400000095,5.444126129,33.33333206,8.881579399,6.349999905
4.75,6.494746685,33.33333206,8.552631378,8
4.090000153,5.730659008,0,6.907894611,7
4.449999809,6.542502403,33.33333206,9.210526466,7.400000095
4.170000076,5.491881371,0,8.552631378,7.5
4.119999886,6.255969524,0,7.894736767,6.349999905
3.940000057,5.539637089,0,5.921052456,6.199999809
4.090000153,6.303724766,33.33333206,8.552631378,6.449999809
3.950000048,5.921680927,0,9.868420601,7
